"","Precio","Superficie","Habitaciones","Altura","Exterior","Distanciasol"
"1",1950,153,4,2,1,3.6
"2",1250,60,1,6,1,2.3
"3",950,34,1,4,1,2.7
"4",2350,126,3,5,1,2.3
"5",630,26,1,6,1,1.9
"6",1100,70,2,3,1,2.7
"7",2300,162,3,6,1,2.4
"8",1350,80,2,6,1,3.5
"9",1200,33,2,2,0,2.1
"10",690,35,0,0,1,3.6
"11",600,30,1,1,0,2.5
"12",625,28,0,3,0,3.5
"13",2700,180,3,3,1,2
"14",1300,77,2,5,0,2
"15",1250,45,1,6,1,2.8
"16",800,35,1,6,0,1.9
"17",3500,233,3,1,1,2.4
"18",1450,95,2,4,1,2.6
"19",1300,65,2,5,1,2.3
"20",1200,50,2,3,0,2.4
"21",1250,125,1,0,1,2.7
"22",1500,65,2,4,1,3.7
"23",1300,55,1,3,1,2.3
"24",1250,42,2,2,1,3.3
"25",1000,50,1,4,1,2.7
"26",1300,40,1,2,1,1.4
"27",1350,100,2,3,1,2.4
"28",700,45,0,5,1,2.1
"29",650,25,2,2,0,2.1
"30",1100,51,1,4,1,2.7
"31",1050,67,1,2,1,4.4
"32",1250,75,2,5,0,2.9
"33",1300,80,1,4,1,1.6
"34",550,22,0,4,0,2
"35",1300,70,2,6,0,2.5
"36",1200,59,2,4,1,3.1
"37",1200,50,1,3,1,1.9
"38",750,45,1,1,1,4.1
"39",1100,48,1,4,0,2
"40",1300,75,2,4,1,1.6
"41",1000,55,1,4,1,2.7
"42",1100,50,1,5,0,2.7
"43",1300,45,1,4,1,3
"44",1200,85,3,5,1,2.7
"45",1300,80,2,2,0,2.5
"46",1600,62,2,4,1,3.4
"47",1000,75,0,0,1,3.4
"48",1200,75,2,6,0,5.1
"49",1200,65,2,6,1,5.3
"50",1100,70,2,3,1,2.3
"51",1200,40,1,6,0,2.4
"52",1300,60,1,4,0,3.5
"53",1000,60,1,0,0,2.4
"54",1800,91,2,6,1,3.3
"55",1325,75,2,3,0,2.5
"56",1000,50,1,4,0,2.8
"57",1100,76,3,1,1,3.5
"58",1200,75,1,4,1,3
"59",1200,65,2,1,0,3.9
"60",750,34,1,1,1,2.3
"61",750,35,1,1,1,2.4
"62",1200,50,2,0,0,2.5
"63",1250,76,2,5,1,2.7
"64",1250,62,1,4,1,3.4
"65",1000,70,2,0,0,2.5
"66",1200,63,1,4,1,2.4
"67",1000,55,2,0,0,2.5
"68",3100,129,3,5,1,2.5
"69",600,25,0,5,0,2.2
"70",725,40,2,4,0,2.2
"71",1040,60,1,3,1,2.3
"72",1300,95,2,0,0,2.4
"73",1200,40,1,2,0,2.5
"74",1300,105,2,1,1,2.3
"75",1000,70,1,0,0,3.5
"76",1700,170,3,4,1,2.4
"77",1200,90,2,3,1,2.8
"78",1100,65,1,1,1,1.8
"79",950,44,2,0,0,2.5
"80",1000,50,2,0,1,1.9
"81",1100,70,2,5,0,3.8
"82",1000,42,1,2,1,3.2
"83",1000,43,2,1,0,3.2
"84",1325,75,2,3,0,3.4
"85",1200,63,1,5,1,4.6
"86",1300,46,1,1,0,1.6
"87",1200,67,2,3,1,4.1
"88",780,31,1,0,0,2.4
"89",1000,55,1,4,1,2.5
"90",1250,55,1,1,0,4
"91",1350,75,3,4,0,1.9
"92",850,50,1,3,0,1.9
"93",960,45,1,2,0,3.6
"94",1250,81,2,5,1,3.7
"95",1250,76,2,5,1,3.2
"96",850,29,1,6,0,1.9
"97",850,37,1,4,1,2.3
"98",2400,146,3,3,1,1.9
"99",1300,67,2,4,1,1.6
"100",1400,104,3,2,1,2.2
"101",2400,120,4,5,1,2
"102",750,30,2,2,1,2.7
"103",1200,60,1,2,0,2.4
"104",1300,79,2,4,1,3.6
"105",530,25,0,-1,0,3
"106",750,47,1,-1,0,2.6
"107",1000,55,2,1,0,3.4
"108",750,35,1,0,0,2.6
"109",975,50,2,3,0,3.3
"110",980,40,1,3,0,2.4
"111",2400,75,2,2,1,2.4
"112",1000,55,1,1,0,2.4
"113",1450,65,2,6,1,4
"114",1250,80,2,6,1,2.5
"115",1000,60,1,0,0,2
"116",1000,40,1,3,0,1.9
"117",1000,45,2,4,0,2.8
"118",1100,55,1,5,0,2.5
"119",1450,80,2,4,1,2.2
"120",825,40,1,3,0,1.8
"121",1000,65,2,0,0,2.4
"122",1900,125,3,6,1,3.4
"123",1200,60,2,0,1,3.2
"124",750,34,1,1,1,2.5
"125",1200,73,2,0,0,1.8
"126",990,66,1,2,1,2.7
"127",2000,90,2,1,1,3.2
"128",850,45,1,4,0,1.9
"129",1030,60,2,0,0,3
"130",1500,86,2,4,1,3.8
"131",1300,95,2,0,0,2.3
"132",1300,68,1,2,1,3.4
"133",1200,70,1,2,0,3.5
"134",2500,150,4,3,1,2.3
"135",1800,105,3,6,1,3.7
"136",1700,125,5,2,1,3.5
"137",1200,50,2,3,0,3.2
"138",1000,55,1,3,1,2.1
"139",1650,60,2,3,1,3.1
"140",840,45,1,3,0,1.6
"141",850,41,2,6,1,3.8
"142",700,30,1,4,1,2.1
"143",1200,74,2,1,1,4.4
"144",1250,50,1,2,1,3.1
"145",1200,75,1,2,1,1.9
"146",1100,64,2,2,0,2.6
"147",950,65,1,6,0,2
"148",1250,65,1,3,1,3.4
"149",850,50,1,3,1,1.9
"150",1250,73,2,7,0,3
"151",1250,41,1,1,0,2.1
"152",1000,50,2,2,0,3
"153",750,42,1,2,0,3.1
"154",1300,84,2,3,0,2.4
"155",1200,65,1,3,1,1.9
"156",1350,82,3,4,1,2.4
"157",1400,75,2,2,0,2.2
"158",1300,100,2,0,0,2.4
"159",1200,40,0,2,1,1.8
"160",1350,85,3,4,1,2.4
